,Product_Name,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Product_Size,Skin_Type,Gender_Target,Packaging_Type,Main_Ingredient,Cruelty_Free,Country_of_Origin,Size_ml,Price_per_ml,Popularity_Score,Usage_Encoded,Segment,Combined_Features
1475,Ultra Concealer,Becca,Eyeliner,Occasional,96.19,3.9,1056,30Ml,Normal,Unisex,Compact,Salicylic Acid,True,Usa,30.0,3.2063333333333333,27.156440944893927,2,0,Eyeliner Salicylic Acid Normal Compact
1476,Magic Serum,Anastasia Beverly Hills,Concealer,Daily,129.28,2.5,9092,150Ml,Dry,Female,Tube,Hyaluronic Acid,False,Germany,150.0,0.8618666666666667,22.78815041431478,0,1,Concealer Hyaluronic Acid Dry Tube
1477,Super Moisturizer,Milk Makeup,Eye Shadow,Daily,76.0,2.9,7008,250Ml,Normal,Male,Stick,Retinol,True,Italy,250.0,0.304,25.67935591785094,0,3,Eye Shadow Retinol Normal Stick
1478,Magic Face Mask,Glossier,Serum,Daily,46.29,1.7,6653,30Ml,Oily,Female,Spray,Shea Butter,False,Germany,30.0,1.543,14.965054876183318,0,2,Serum Shea Butter Oily Spray
1479,Super Lip Gloss,Make Up For Ever,Mascara,Daily,91.61,1.5,1402,150Ml,Dry,Female,Tube,Hyaluronic Acid,True,France,150.0,0.6107333333333334,10.869552120153692,0,1,Mascara Hyaluronic Acid Dry Tube
1480,Divine Highlighter,Make Up For Ever,Eyeliner,Monthly,127.55,3.1,1201,100Ml,Combination,Male,Jar,Aloe Vera,False,Usa,100.0,1.2755,21.984400556794974,1,0,Eyeliner Aloe Vera Combination Jar
1481,Magic Bronzer,Fenty Beauty,Primer,Occasional,145.7,4.1,4675,100Ml,Oily,Male,Bottle,Glycerin,False,France,100.0,1.4569999999999999,34.645813122627025,2,0,Primer Glycerin Oily Bottle
1482,Magic Powder,Becca,Blush,Daily,130.5,4.1,3096,50Ml,Combination,Male,Bottle,Aloe Vera,True,Germany,50.0,2.61,32.95657563789013,0,0,Blush Aloe Vera Combination Bottle
1483,Divine Bronzer,Becca,Lip Liner,Daily,13.47,3.6,900,30Ml,Sensitive,Female,Compact,Hyaluronic Acid,False,Japan,30.0,0.449,24.492618927390016,0,0,Lip Liner Hyaluronic Acid Sensitive Compact
1484,Perfect Setting Spray,It Cosmetics,Powder,Daily,49.77,2.3,930,200Ml,Dry,Male,Stick,Salicylic Acid,True,Australia,200.0,0.24885000000000002,15.723396337737253,0,2,Powder Salicylic Acid Dry Stick
1485,Magic Lipstick,E.L.F.,Serum,Weekly,44.54,2.9,5939,30Ml,Oily,Male,Spray,Aloe Vera,False,France,30.0,1.4846666666666666,25.1994467958344,3,2,Serum Aloe Vera Oily Spray
1486,Ultra Contour,Natasha Denona,Mascara,Daily,63.57,3.6,523,50Ml,Sensitive,Unisex,Stick,Salicylic Acid,True,South Korea,50.0,1.2714,22.541370063555753,0,0,Mascara Salicylic Acid Sensitive Stick
1487,Ultra Highlighter,Ilia Beauty,Concealer,Monthly,87.87,3.4,4303,50Ml,Sensitive,Male,Jar,Retinol,True,Uk,50.0,1.7574,28.448820346261506,1,0,Concealer Retinol Sensitive Jar
1488,Ultra Exfoliator,Natasha Denona,Lipstick,Monthly,71.47,2.1,4787,200Ml,Sensitive,Female,Stick,Shea Butter,False,Japan,200.0,0.35735,17.795122940023518,1,2,Lipstick Shea Butter Sensitive Stick
1489,Perfect Blush,Perricone Md,Mascara,Occasional,44.25,3.3,6745,250Ml,Dry,Male,Tube,Hyaluronic Acid,True,Uk,250.0,0.177,29.095126551551264,2,3,Mascara Hyaluronic Acid Dry Tube
1490,Ultra Mascara,Kiehl’S,Cleanser,Daily,58.88,4.8,9196,150Ml,Oily,Unisex,Bottle,Glycerin,True,South Korea,150.0,0.39253333333333335,43.80783658993295,0,3,Cleanser Glycerin Oily Bottle
1491,Divine Cleanser,Clinique,Blush,Weekly,80.57,3.5,9393,150Ml,Sensitive,Unisex,Compact,Glycerin,True,France,150.0,0.5371333333333332,32.01739263305429,3,3,Blush Glycerin Sensitive Compact
1492,Super Contour,Rare Beauty,Lip Liner,Daily,107.42,2.0,8982,200Ml,Oily,Male,Tube,Vitamin C,False,Australia,200.0,0.5371,18.206178362458413,0,1,Lip Liner Vitamin C Oily Tube
1493,Super Setting Spray,Bourjois,Bb Cream,Daily,79.49,4.5,5884,30Ml,Normal,Unisex,Tube,Aloe Vera,True,Germany,30.0,2.6496666666666666,39.0607290886247,0,3,Bb Cream Aloe Vera Normal Tube
1494,Super Makeup Remover,E.L.F.,Blush,Weekly,78.52,1.7,563,200Ml,Oily,Female,Tube,Shea Butter,False,Australia,200.0,0.3926,10.7695922275467,3,1,Blush Shea Butter Oily Tube
1495,Magic Powder,Sisley,Concealer,Weekly,93.67,1.7,5974,200Ml,Dry,Male,Tube,Aloe Vera,False,Uk,200.0,0.46835,14.78207694055951,3,1,Concealer Aloe Vera Dry Tube
1496,Magic Face Mask,Bobby Brown,Cleanser,Daily,115.93,4.7,536,100Ml,Sensitive,Male,Tube,Vitamin C,False,Uk,100.0,1.1593,29.544191044191667,0,0,Cleanser Vitamin C Sensitive Tube
1497,Magic Highlighter,It Cosmetics,Face Mask,Monthly,21.44,3.0,6297,200Ml,Dry,Female,Bottle,Glycerin,False,Japan,200.0,0.1072,26.243962204982907,1,2,Face Mask Glycerin Dry Bottle
1498,Ultra Mascara,Tatcha,Highlighter,Occasional,96.22,1.9,9580,50Ml,Dry,Unisex,Tube,Retinol,True,Germany,50.0,1.9243999999999999,17.41832077433666,2,1,Highlighter Retinol Dry Tube
1499,Divine Exfoliator,Danessa Myricks,Lip Gloss,Monthly,48.32,3.3,2479,50Ml,Dry,Unisex,Bottle,Salicylic Acid,True,France,50.0,0.9664,25.79284566922479,1,0,Lip Gloss Salicylic Acid Dry Bottle
1500,Divine Highlighter,Milk Makeup,Face Oil,Monthly,23.57,2.5,7881,150Ml,Oily,Male,Spray,Glycerin,True,Usa,150.0,0.15713333333333335,22.430842394387373,1,2,Face Oil Glycerin Oily Spray
1501,Magic Setting Spray,Farsali,Eye Shadow,Weekly,61.98,3.1,4012,100Ml,Normal,Unisex,Compact,Retinol,True,South Korea,100.0,0.6198,25.72161254782744,3,2,Eye Shadow Retinol Normal Compact
1502,Super Cc Cream,Kylie Cosmetics,Lipstick,Weekly,137.61,1.5,2464,200Ml,Sensitive,Female,Jar,Retinol,False,Usa,200.0,0.68805,11.714920629715186,3,1,Lipstick Retinol Sensitive Jar
1503,Super Setting Spray,Bourjois,Lip Liner,Daily,86.46,4.5,5790,200Ml,Combination,Female,Tube,Vitamin C,True,Australia,200.0,0.43229999999999996,38.98827120251605,0,3,Lip Liner Vitamin C Combination Tube
1504,Super Exfoliator,Farsali,Makeup Remover,Weekly,44.95,4.2,4687,50Ml,Normal,Unisex,Jar,Retinol,True,France,50.0,0.899,35.50159759127877,3,0,Makeup Remover Retinol Normal Jar
1505,Magic Face Mask,Drunk Elephant,Powder,Occasional,89.08,3.7,7184,100Ml,Oily,Unisex,Compact,Shea Butter,False,Australia,100.0,0.8908,32.85507795449857,2,3,Powder Shea Butter Oily Compact
1506,Ultra Cleanser,Pat Mcgrath Labs,Face Mask,Occasional,82.76,4.6,2774,150Ml,Sensitive,Male,Jar,Aloe Vera,True,Uk,150.0,0.5517333333333334,36.470667720430455,2,0,Face Mask Aloe Vera Sensitive Jar
1507,Divine Eyeliner,Fenty Beauty,Lipstick,Monthly,76.88,3.5,4590,200Ml,Oily,Unisex,Spray,Vitamin C,True,Japan,200.0,0.38439999999999996,29.51148600487228,1,0,Lipstick Vitamin C Oily Spray
1508,Divine Powder,Laura Mercier,Lip Gloss,Occasional,35.3,2.3,5097,30Ml,Normal,Female,Spray,Salicylic Acid,True,Germany,30.0,1.1766666666666665,19.634188245352938,2,2,Lip Gloss Salicylic Acid Normal Spray
1509,Divine Cc Cream,Sisley,Primer,Weekly,146.64,3.7,9402,250Ml,Dry,Male,Tube,Salicylic Acid,False,Uk,250.0,0.58656,33.85050104522519,3,3,Primer Salicylic Acid Dry Tube
1510,Ultra Bb Cream,Sisley,Highlighter,Weekly,99.33,5.0,349,250Ml,Dry,Unisex,Spray,Salicylic Acid,False,Usa,250.0,0.39732,29.289665772417294,3,0,Highlighter Salicylic Acid Dry Spray
1511,Magic Face Oil,It Cosmetics,Primer,Occasional,61.66,4.7,3050,200Ml,Normal,Female,Tube,Shea Butter,False,Australia,200.0,0.30829999999999996,37.70915601816835,2,0,Primer Shea Butter Normal Tube
1512,Super Eye Shadow,Danessa Myricks,Cc Cream,Daily,88.39,3.3,7869,30Ml,Combination,Female,Jar,Salicylic Acid,True,Japan,30.0,2.9463333333333335,29.603684026657778,0,3,Cc Cream Salicylic Acid Combination Jar
1513,Super Foundation,Becca,Face Mask,Weekly,44.24,2.8,4477,50Ml,Oily,Female,Stick,Retinol,False,Japan,50.0,0.8848,23.539409032044357,3,2,Face Mask Retinol Oily Stick
1514,Magic Bronzer,Bobby Brown,Lipstick,Weekly,21.81,1.1,5599,50Ml,Normal,Unisex,Tube,Shea Butter,False,Usa,50.0,0.4362,9.493574064395567,3,2,Lipstick Shea Butter Normal Tube
1515,Perfect Blush,Shiseido,Cleanser,Occasional,11.37,2.3,5069,200Ml,Combination,Unisex,Compact,Salicylic Acid,True,Japan,200.0,0.05685,19.621521022146023,2,2,Cleanser Salicylic Acid Combination Compact
1516,Magic Face Oil,Kvd Beauty,Makeup Remover,Monthly,118.05,3.8,8634,100Ml,Sensitive,Unisex,Tube,Shea Butter,True,Italy,100.0,1.1804999999999999,34.44160016420696,1,3,Makeup Remover Shea Butter Sensitive Tube
1517,Ultra Eyeliner,Juvia’S Place,Blush,Daily,46.42,2.0,3317,200Ml,Dry,Unisex,Spray,Retinol,False,Usa,200.0,0.2321,16.21423494150078,0,2,Blush Retinol Dry Spray
1518,Super Lipstick,Charlotte Tilbury,Lip Liner,Weekly,16.07,4.8,691,100Ml,Oily,Male,Bottle,Shea Butter,False,Germany,100.0,0.1607,31.39001258696481,3,0,Lip Liner Shea Butter Oily Bottle
1519,Divine Contour,Bite Beauty,Setting Spray,Occasional,33.49,1.6,6014,30Ml,Oily,Unisex,Jar,Shea Butter,True,South Korea,30.0,1.1163333333333334,13.923218605454048,2,2,Setting Spray Shea Butter Oily Jar
1520,Divine Lip Gloss,Glossier,Makeup Remover,Occasional,32.07,1.6,9402,100Ml,Normal,Female,Spray,Shea Butter,False,Usa,100.0,0.3207,14.638054506043325,2,2,Makeup Remover Shea Butter Normal Spray
1521,Divine Highlighter,Juvia’S Place,Setting Spray,Monthly,64.34,2.4,3991,150Ml,Sensitive,Female,Stick,Retinol,True,Japan,150.0,0.42893333333333333,19.90091432983525,1,2,Setting Spray Retinol Sensitive Stick
1522,Magic Foundation,Becca,Face Oil,Daily,48.34,4.3,1992,30Ml,Normal,Unisex,Tube,Glycerin,True,Usa,30.0,1.6113333333333335,32.66880417691502,0,0,Face Oil Glycerin Normal Tube
1523,Ultra Blush,Kylie Cosmetics,Primer,Weekly,86.81,3.5,9636,200Ml,Sensitive,Unisex,Spray,Aloe Vera,False,Germany,200.0,0.43405,32.10677797547951,3,3,Primer Aloe Vera Sensitive Spray
1524,Magic Bb Cream,Rare Beauty,Cc Cream,Weekly,40.26,4.6,8967,30Ml,Oily,Male,Compact,Retinol,False,Usa,30.0,1.3419999999999999,41.86652263785918,3,3,Cc Cream Retinol Oily Compact
1525,Magic Mascara,Farsali,Makeup Remover,Daily,105.75,2.4,5923,200Ml,Dry,Female,Tube,Retinol,False,Italy,200.0,0.52875,20.848241220930454,0,1,Makeup Remover Retinol Dry Tube
1526,Ultra Primer,Bourjois,Setting Spray,Occasional,109.42,2.3,9770,100Ml,Dry,Unisex,Spray,Glycerin,False,South Korea,100.0,1.0942,21.130500416071985,2,3,Setting Spray Glycerin Dry Spray
1527,Perfect Face Oil,Natasha Denona,Concealer,Daily,17.44,1.6,6926,100Ml,Sensitive,Male,Stick,Aloe Vera,False,France,100.0,0.1744,14.14909135683617,0,2,Concealer Aloe Vera Sensitive Stick
1528,Super Eye Shadow,Nars,Powder,Weekly,69.52,3.0,4256,150Ml,Oily,Female,Jar,Retinol,True,South Korea,150.0,0.46346666666666664,25.068959897484458,3,2,Powder Retinol Oily Jar
1529,Ultra Powder,Pat Mcgrath Labs,Powder,Occasional,91.94,2.7,4392,250Ml,Dry,Male,Tube,Vitamin C,False,Italy,250.0,0.36776,22.646972638734606,2,1,Powder Vitamin C Dry Tube
1530,Divine Blush,Milk Makeup,Makeup Remover,Weekly,52.74,3.8,3052,30Ml,Sensitive,Male,Jar,Retinol,False,Germany,30.0,1.758,30.490743972392536,3,0,Makeup Remover Retinol Sensitive Jar
1531,Magic Face Oil,Becca,Cleanser,Weekly,58.83,3.5,6503,50Ml,Combination,Female,Compact,Shea Butter,False,Germany,50.0,1.1765999999999999,30.730604279296763,3,3,Cleanser Shea Butter Combination Compact
1532,Super Exfoliator,Shiseido,Setting Spray,Daily,28.25,2.8,1549,150Ml,Oily,Female,Stick,Glycerin,False,South Korea,150.0,0.18833333333333332,20.568828587757217,0,2,Setting Spray Glycerin Oily Stick
1533,Super Face Mask,Anastasia Beverly Hills,Contour,Weekly,102.22,4.2,6476,50Ml,Dry,Male,Spray,Shea Butter,True,South Korea,50.0,2.0444,36.85925342056825,3,3,Contour Shea Butter Dry Spray
1534,Perfect Concealer,Glossier,Foundation,Occasional,105.7,2.1,9882,250Ml,Combination,Female,Jar,Aloe Vera,True,Japan,250.0,0.4228,19.31699991558999,2,1,Foundation Aloe Vera Combination Jar
1535,Divine Face Mask,E.L.F.,Concealer,Weekly,110.33,3.6,5012,100Ml,Sensitive,Male,Stick,Glycerin,True,Germany,100.0,1.1033,30.671243342148617,3,3,Concealer Glycerin Sensitive Stick
1536,Divine Concealer,Juvia’S Place,Face Mask,Monthly,144.53,1.1,2513,150Ml,Combination,Male,Stick,Hyaluronic Acid,True,Germany,150.0,0.9635333333333334,8.612593428065212,1,1,Face Mask Hyaluronic Acid Combination Stick
1537,Ultra Mascara,Tarte,Face Mask,Occasional,112.42,3.3,3381,150Ml,Sensitive,Unisex,Compact,Retinol,True,Germany,150.0,0.7494666666666667,26.816534347213132,2,0,Face Mask Retinol Sensitive Compact
1538,Ultra Eye Shadow,Rms Beauty,Bronzer,Occasional,97.32,4.2,2174,30Ml,Sensitive,Unisex,Jar,Hyaluronic Acid,False,France,30.0,3.2439999999999998,32.2760925627957,2,0,Bronzer Hyaluronic Acid Sensitive Jar
1539,Divine Cc Cream,Milk Makeup,Lip Gloss,Occasional,120.42,2.2,9005,50Ml,Oily,Unisex,Stick,Retinol,True,South Korea,50.0,2.4084,20.03242186189534,2,1,Lip Gloss Retinol Oily Stick
1540,Perfect Bronzer,Becca,Blush,Monthly,38.49,1.7,8316,50Ml,Combination,Female,Tube,Shea Butter,True,Italy,50.0,0.7698,15.34429671617677,1,2,Blush Shea Butter Combination Tube
1541,Super Lip Gloss,Danessa Myricks,Lipstick,Monthly,96.72,2.1,2088,150Ml,Combination,Male,Bottle,Salicylic Acid,False,Germany,150.0,0.6448,16.05332559926879,1,1,Lipstick Salicylic Acid Combination Bottle
1542,Divine Moisturizer,Perricone Md,Eye Shadow,Monthly,63.41,2.7,4825,250Ml,Dry,Male,Spray,Shea Butter,False,Australia,250.0,0.25364,22.900787764699437,1,2,Eye Shadow Shea Butter Dry Spray
1543,Magic Cc Cream,Make Up For Ever,Bronzer,Weekly,114.42,4.9,5123,200Ml,Normal,Unisex,Jar,Vitamin C,False,Germany,200.0,0.5721,41.85428424878147,3,3,Bronzer Vitamin C Normal Jar
1544,Perfect Lipstick,Rms Beauty,Makeup Remover,Monthly,68.11,2.9,2824,200Ml,Sensitive,Unisex,Compact,Retinol,False,Usa,200.0,0.34055,23.044164566383568,1,0,Makeup Remover Retinol Sensitive Compact
1545,Super Setting Spray,Laura Mercier,Highlighter,Daily,127.48,4.0,1063,100Ml,Sensitive,Male,Tube,Hyaluronic Acid,True,France,100.0,1.2748,27.87916267960636,0,0,Highlighter Hyaluronic Acid Sensitive Tube
1546,Perfect Lip Liner,Huda Beauty,Face Mask,Weekly,112.76,4.7,4808,200Ml,Oily,Male,Bottle,Salicylic Acid,True,Australia,200.0,0.5638000000000001,39.84774887400502,3,0,Face Mask Salicylic Acid Oily Bottle
1547,Divine Bb Cream,Too Faced,Serum,Weekly,139.64,4.8,4305,50Ml,Sensitive,Unisex,Spray,Shea Butter,False,South Korea,50.0,2.7927999999999997,40.16527045403668,3,0,Serum Shea Butter Sensitive Spray
1548,Perfect Face Oil,Rare Beauty,Serum,Daily,27.53,1.7,175,250Ml,Combination,Male,Spray,Vitamin C,True,Australia,250.0,0.11012000000000001,8.789822791564857,0,2,Serum Vitamin C Combination Spray
1549,Divine Foundation,E.L.F.,Exfoliator,Monthly,62.7,3.9,1996,30Ml,Oily,Male,Jar,Aloe Vera,False,Australia,30.0,2.0900000000000003,29.637665200321678,1,0,Exfoliator Aloe Vera Oily Jar
1550,Divine Exfoliator,Morphe,Bronzer,Monthly,45.62,2.7,2535,150Ml,Oily,Female,Jar,Retinol,True,France,150.0,0.3041333333333333,21.163526952004215,1,2,Bronzer Retinol Oily Jar
1551,Perfect Primer,Natasha Denona,Cc Cream,Occasional,68.88,1.1,3129,30Ml,Sensitive,Female,Jar,Shea Butter,True,Italy,30.0,2.296,8.853667111887619,2,2,Cc Cream Shea Butter Sensitive Jar
1552,Divine Cleanser,Charlotte Tilbury,Cc Cream,Monthly,24.68,4.4,2803,150Ml,Dry,Male,Tube,Hyaluronic Acid,True,Uk,150.0,0.16453333333333334,34.93072989187972,1,0,Cc Cream Hyaluronic Acid Dry Tube
1553,Ultra Bb Cream,Bourjois,Bronzer,Occasional,134.54,2.4,3186,50Ml,Normal,Female,Jar,Glycerin,False,Usa,50.0,2.6908,19.360404754601607,2,1,Bronzer Glycerin Normal Jar
1554,Perfect Lipstick,Too Faced,Moisturizer,Weekly,128.95,3.7,8785,100Ml,Normal,Female,Spray,Salicylic Acid,False,Italy,100.0,1.2894999999999999,33.59938485078219,3,3,Moisturizer Salicylic Acid Normal Spray
1555,Perfect Lip Liner,Too Faced,Face Oil,Occasional,69.41,1.1,2730,200Ml,Normal,Male,Compact,Hyaluronic Acid,False,Australia,200.0,0.34704999999999997,8.703665433621076,2,2,Face Oil Hyaluronic Acid Normal Compact
1556,Super Setting Spray,Ilia Beauty,Cleanser,Monthly,137.05,3.7,2346,50Ml,Oily,Unisex,Jar,Salicylic Acid,True,Australia,50.0,2.741,28.71530482464879,1,0,Cleanser Salicylic Acid Oily Jar
1557,Perfect Mascara,Bite Beauty,Face Mask,Occasional,71.79,2.2,7846,150Ml,Combination,Male,Bottle,Vitamin C,False,France,150.0,0.4786,19.72935045868044,2,2,Face Mask Vitamin C Combination Bottle
1558,Ultra Highlighter,Too Faced,Primer,Weekly,84.53,4.0,7324,150Ml,Dry,Male,Stick,Hyaluronic Acid,False,South Korea,150.0,0.5635333333333333,35.59619373554107,3,3,Primer Hyaluronic Acid Dry Stick
1559,Super Blush,E.L.F.,Face Mask,Weekly,94.31,4.2,7260,100Ml,Combination,Female,Jar,Glycerin,True,Australia,100.0,0.9431,37.339145925397034,3,3,Face Mask Glycerin Combination Jar
1560,Divine Setting Spray,Nars,Exfoliator,Daily,84.52,4.3,4491,100Ml,Sensitive,Male,Jar,Aloe Vera,True,Germany,100.0,0.8452,36.16322925819084,0,0,Exfoliator Aloe Vera Sensitive Jar
1561,Ultra Blush,It Cosmetics,Lip Liner,Weekly,145.27,1.1,3139,100Ml,Sensitive,Female,Stick,Vitamin C,True,Usa,100.0,1.4527,8.85717588679253,3,1,Lip Liner Vitamin C Sensitive Stick
1562,Divine Powder,Yves Saint Laurent,Bronzer,Daily,111.99,4.7,9602,30Ml,Dry,Unisex,Stick,Vitamin C,True,Italy,30.0,3.7329999999999997,43.098204894598474,0,3,Bronzer Vitamin C Dry Stick
1563,Super Cleanser,Tatcha,Cc Cream,Daily,40.26,1.5,5072,30Ml,Oily,Female,Spray,Salicylic Acid,True,Uk,30.0,1.3419999999999999,12.797531456350036,0,2,Cc Cream Salicylic Acid Oily Spray
1564,Divine Blush,Tarte,Cleanser,Monthly,139.29,1.9,3501,30Ml,Dry,Female,Stick,Salicylic Acid,True,France,30.0,4.643,15.506070074407013,1,1,Cleanser Salicylic Acid Dry Stick
1565,Perfect Contour,Natasha Denona,Foundation,Monthly,28.84,3.7,9317,50Ml,Oily,Male,Tube,Retinol,True,Uk,50.0,0.5768,33.81690218179395,1,3,Foundation Retinol Oily Tube
1566,Magic Foundation,Kylie Cosmetics,Contour,Monthly,21.89,3.7,5073,30Ml,Normal,Male,Tube,Shea Butter,False,Italy,30.0,0.7296666666666667,31.567973538589143,1,2,Contour Shea Butter Normal Tube
1567,Magic Eyeliner,Urban Decay,Foundation,Occasional,47.11,1.3,8263,30Ml,Combination,Male,Bottle,Retinol,True,South Korea,30.0,1.5703333333333334,11.725563214039317,2,2,Foundation Retinol Combination Bottle
1568,Perfect Lip Gloss,Glossier,Moisturizer,Weekly,146.52,2.5,5614,100Ml,Oily,Female,Tube,Shea Butter,True,Uk,100.0,1.4652,21.58299216793136,3,1,Moisturizer Shea Butter Oily Tube
1569,Perfect Makeup Remover,Yves Saint Laurent,Eye Shadow,Daily,87.98,4.5,7933,100Ml,Oily,Female,Jar,Aloe Vera,False,Italy,100.0,0.8798,40.40510670483424,0,3,Eye Shadow Aloe Vera Oily Jar
1570,Super Highlighter,Yves Saint Laurent,Mascara,Monthly,126.76,2.7,3536,150Ml,Combination,Unisex,Tube,Glycerin,True,Italy,150.0,0.8450666666666667,22.0617923108548,1,1,Mascara Glycerin Combination Tube
1571,Magic Concealer,Glossier,Makeup Remover,Occasional,84.11,4.1,9343,50Ml,Oily,Female,Spray,Glycerin,False,Italy,50.0,1.6822,37.48420779077883,2,3,Makeup Remover Glycerin Oily Spray
1572,Super Eye Shadow,Yves Saint Laurent,Cleanser,Daily,50.89,3.4,4743,250Ml,Oily,Male,Compact,Salicylic Acid,True,Germany,250.0,0.20356,28.77976219830371,0,0,Cleanser Salicylic Acid Oily Compact
1573,Magic Bb Cream,Urban Decay,Cleanser,Occasional,13.42,1.2,6436,200Ml,Combination,Unisex,Jar,Glycerin,True,Uk,200.0,0.06709999999999999,10.52378144646314,2,2,Cleanser Glycerin Combination Jar
1574,Ultra Lipstick,Shiseido,Moisturizer,Weekly,49.01,3.0,7460,50Ml,Combination,Female,Jar,Hyaluronic Acid,True,Usa,50.0,0.9802,26.75233419741454,3,2,Moisturizer Hyaluronic Acid Combination Jar
1575,Divine Eye Shadow,Patrick Ta,Bronzer,Monthly,54.25,2.9,9935,50Ml,Combination,Male,Bottle,Aloe Vera,False,Australia,50.0,1.085,26.691367432102453,1,3,Bronzer Aloe Vera Combination Bottle
1576,Super Lipstick,Milk Makeup,Lip Liner,Weekly,38.5,4.2,2997,50Ml,Normal,Male,Jar,Salicylic Acid,True,France,50.0,0.77,33.623942850382676,3,0,Lip Liner Salicylic Acid Normal Jar
1577,Perfect Blush,Farsali,Eye Shadow,Weekly,80.34,1.7,7271,200Ml,Sensitive,Male,Stick,Retinol,True,Japan,200.0,0.4017,15.116037280957435,3,2,Eye Shadow Retinol Sensitive Stick
1578,Super Blush,Juvia’S Place,Lip Gloss,Weekly,143.9,3.2,3689,250Ml,Sensitive,Female,Compact,Retinol,False,Uk,250.0,0.5756,26.282821558510634,3,1,Lip Gloss Retinol Sensitive Compact
1579,Perfect Cc Cream,Farsali,Eye Shadow,Monthly,124.27,4.0,5762,150Ml,Combination,Unisex,Jar,Glycerin,False,Japan,150.0,0.8284666666666667,34.63685380574667,1,3,Eye Shadow Glycerin Combination Jar
1580,Perfect Lip Gloss,Clinique,Exfoliator,Occasional,110.96,4.5,2497,200Ml,Combination,Female,Compact,Shea Butter,True,Usa,200.0,0.5548,35.204605608084854,2,0,Exfoliator Shea Butter Combination Compact
1581,Super Lip Gloss,Milk Makeup,Setting Spray,Monthly,49.69,1.6,2800,30Ml,Combination,Unisex,Spray,Aloe Vera,False,France,30.0,1.6563333333333332,12.700370840416175,1,2,Setting Spray Aloe Vera Combination Spray
1582,Ultra Bb Cream,Becca,Makeup Remover,Daily,142.49,1.5,3227,50Ml,Combination,Male,Tube,Retinol,True,Uk,50.0,2.8498,12.119427044084759,0,1,Makeup Remover Retinol Combination Tube
1583,Perfect Concealer,Fenty Beauty,Moisturizer,Occasional,76.08,2.1,1091,200Ml,Sensitive,Unisex,Tube,Salicylic Acid,False,France,200.0,0.3804,14.691108928240187,2,2,Moisturizer Salicylic Acid Sensitive Tube
1584,Magic Cc Cream,Danessa Myricks,Powder,Monthly,80.86,1.5,1926,50Ml,Sensitive,Unisex,Spray,Retinol,True,Germany,50.0,1.6172,11.34557950262155,1,1,Powder Retinol Sensitive Spray
1585,Ultra Exfoliator,Juvia’S Place,Bronzer,Weekly,139.04,2.2,7069,30Ml,Dry,Female,Tube,Hyaluronic Acid,False,Japan,30.0,4.634666666666666,19.499954669559365,3,1,Bronzer Hyaluronic Acid Dry Tube
1586,Super Eyeliner,Colourpop,Cleanser,Occasional,105.63,4.7,7542,150Ml,Sensitive,Female,Bottle,Aloe Vera,True,Uk,150.0,0.7041999999999999,41.96336372131207,2,3,Cleanser Aloe Vera Sensitive Bottle
1587,Magic Foundation,Tarte,Moisturizer,Daily,104.36,1.6,4145,50Ml,Oily,Male,Jar,Shea Butter,True,Usa,50.0,2.0872,13.32783886879316,0,1,Moisturizer Shea Butter Oily Jar
1588,Magic Concealer,Laura Mercier,Lip Gloss,Monthly,121.21,1.7,6449,100Ml,Oily,Female,Stick,Salicylic Acid,True,South Korea,100.0,1.2121,14.91212019664269,1,1,Lip Gloss Salicylic Acid Oily Stick
1589,Super Setting Spray,Nars,Primer,Occasional,111.62,2.5,7321,30Ml,Sensitive,Unisex,Tube,Hyaluronic Acid,True,South Korea,30.0,3.720666666666667,22.24659698420045,2,1,Primer Hyaluronic Acid Sensitive Tube
1590,Perfect Eye Shadow,Shiseido,Setting Spray,Daily,38.99,4.5,3989,200Ml,Sensitive,Male,Compact,Salicylic Acid,True,Italy,200.0,0.19495,37.311959294477596,0,0,Setting Spray Salicylic Acid Sensitive Compact
1591,Divine Foundation,Yves Saint Laurent,Makeup Remover,Monthly,55.05,2.2,2478,250Ml,Oily,Female,Jar,Glycerin,True,South Korea,250.0,0.22019999999999998,17.19434317047742,1,2,Makeup Remover Glycerin Oily Jar
1592,Super Serum,Rms Beauty,Cc Cream,Daily,128.59,1.2,2044,200Ml,Oily,Male,Bottle,Aloe Vera,False,Japan,200.0,0.64295,9.147783682172282,0,1,Cc Cream Aloe Vera Oily Bottle
1593,Divine Face Oil,Drunk Elephant,Concealer,Monthly,52.38,2.4,5119,50Ml,Sensitive,Unisex,Tube,Glycerin,True,Usa,50.0,1.0476,20.49818332328053,1,2,Concealer Glycerin Sensitive Tube
1594,Perfect Lipstick,Perricone Md,Concealer,Daily,61.22,3.8,6814,30Ml,Normal,Male,Bottle,Aloe Vera,False,Australia,30.0,2.0406666666666666,33.5421491076964,0,3,Concealer Aloe Vera Normal Bottle
1595,Perfect Setting Spray,Make Up For Ever,Lip Liner,Weekly,133.45,3.8,6070,100Ml,Oily,Female,Jar,Retinol,True,Australia,100.0,1.3344999999999998,33.102858737495644,3,3,Lip Liner Retinol Oily Jar
1596,Magic Mascara,Perricone Md,Lip Gloss,Monthly,61.13,3.8,1337,150Ml,Normal,Female,Tube,Hyaluronic Acid,True,Usa,150.0,0.40753333333333336,27.355938714615057,1,0,Lip Gloss Hyaluronic Acid Normal Tube
